Episode: 0 Iteratio:0 reward:1 total_reward:1 episode_reward:1, loss:0 #items:1 conf. ratio:1.0.
Episode: 0 Iteratio:15300 reward:1 total_reward:1279 episode_reward:1279, loss:0.5 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15400 reward:1 total_reward:1397 episode_reward:1397, loss:0.53 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15500 reward:0 total_reward:1411 episode_reward:1411, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15600 reward:-1 total_reward:1341 episode_reward:1341, loss:0.56 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15700 reward:-1 total_reward:1246 episode_reward:1246, loss:0.5 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15800 reward:0 total_reward:1147 episode_reward:1147, loss:0.5 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:15900 reward:1 total_reward:1234 episode_reward:1234, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16000 reward:1 total_reward:1342 episode_reward:1342, loss:0.57 #items:10000 conf. ratio:1.0.
Total Entries: 16001 More than 1: 0.98 More than 10: 0.95 More than 50: 0.93 Hottest index: 219 [    6.,15994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:16100 reward:0 total_reward:1392 episode_reward:1392, loss:0.53 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16200 reward:0 total_reward:1393 episode_reward:1393, loss:0.47 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16300 reward:1 total_reward:1399 episode_reward:1399, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16400 reward:1 total_reward:1435 episode_reward:1435, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16500 reward:1 total_reward:1536 episode_reward:1536, loss:0.47 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16600 reward:-1 total_reward:1533 episode_reward:1533, loss:0.42 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16700 reward:-1 total_reward:1436 episode_reward:1436, loss:0.59 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16800 reward:0 total_reward:1373 episode_reward:1373, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:16900 reward:0 total_reward:1367 episode_reward:1367, loss:0.53 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17000 reward:1 total_reward:1452 episode_reward:1452, loss:0.53 #items:10000 conf. ratio:1.0.
Total Entries: 17001 More than 1: 0.98 More than 10: 0.95 More than 50: 0.92 Hottest index: 219 [    6.,16994.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:17100 reward:-1 total_reward:1510 episode_reward:1510, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17200 reward:-1 total_reward:1411 episode_reward:1411, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17300 reward:1 total_reward:1474 episode_reward:1474, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17400 reward:1 total_reward:1571 episode_reward:1571, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17500 reward:1 total_reward:1680 episode_reward:1680, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17600 reward:1 total_reward:1792 episode_reward:1792, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17700 reward:1 total_reward:1912 episode_reward:1912, loss:0.48 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17800 reward:2 total_reward:2040 episode_reward:2040, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:17900 reward:-1 total_reward:2053 episode_reward:2053, loss:0.45 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18000 reward:-1 total_reward:2034 episode_reward:2034, loss:0.44 #items:10000 conf. ratio:1.0.
Total Entries: 18001 More than 1: 0.98 More than 10: 0.95 More than 50: 0.93 Hottest index: 219 [    8.,17992.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:18100 reward:-1 total_reward:2070 episode_reward:2070, loss:0.55 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18200 reward:1 total_reward:2002 episode_reward:2002, loss:0.52 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18300 reward:2 total_reward:2128 episode_reward:2128, loss:0.46 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18400 reward:-1 total_reward:2165 episode_reward:2165, loss:0.44 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18500 reward:1 total_reward:2191 episode_reward:2191, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18600 reward:1 total_reward:2312 episode_reward:2312, loss:0.54 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18700 reward:1 total_reward:2410 episode_reward:2410, loss:0.51 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18800 reward:1 total_reward:2529 episode_reward:2529, loss:0.53 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:18900 reward:1 total_reward:2647 episode_reward:2647, loss:0.49 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:19000 reward:2 total_reward:2690 episode_reward:2690, loss:0.51 #items:10000 conf. ratio:1.0.
Total Entries: 19001 More than 1: 0.98 More than 10: 0.95 More than 50: 0.93 Hottest index: 219 [    8.,18992.,    1.,    0.,    0.,    0.]
Episode: 0 Iteratio:19100 reward:1 total_reward:2816 episode_reward:2816, loss:0.58 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:19200 reward:0 total_reward:2790 episode_reward:2790, loss:0.47 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:19300 reward:0 total_reward:2785 episode_reward:2785, loss:0.44 #items:10000 conf. ratio:1.0.
Episode: 0 Iteratio:19400 reward:1 total_reward:2892 episode_reward:2892, loss:0.52 #items:10000 conf. ratio:1.0.
